ProfessionalDetails,Tier
Armed forces training and education officer,Freelancer
IT technical support officer,Professional
Quality manager,Lead
Health visitor,Professional
Patent examiner,Professional
Field trials officer,Manager
Land,Professional
Manufacturing systems engineer,Lead
Claims inspector/assessor,Professional
Field trials officer,Manager
Financial adviser,Freelancer
"Therapist, occupational",Professional
Clinical molecular geneticist,Freelancer
Claims inspector/assessor,Professional
Volunteer coordinator,Professional
Aid worker,Freelancer
Air broker,Manager
Animal nutritionist,Professional
Industrial buyer,Freelancer
Gaffer,Professional
Careers adviser,Freelancer
"Teacher, adult education",Lead
Race relations officer,CXO
Secondary school teacher,Lead
English as a foreign language teacher,Freelancer
Interpreter,Professional
International aid/development worker,Lead
"Doctor, general practice",Professional
Writer,Lead
Logistics and distribution manager,Lead
Operations geologist,Lead
Actor,Professional
"Engineer, drilling",Freelancer
Chiropodist,Lead
Research scientist (medical),Lead
Fish farm manager,Professional
"Psychologist, forensic",Professional
"Surveyor, rural practice",Lead
"Engineer, materials",Professional
Retail banker,Freelancer
Computer games developer,Lead
Public relations officer,Professional
Office manager,Lead
"Civil engineer, consulting",Lead
Recycling officer,Freelancer
English as a second language teacher,Professional
Interior and spatial designer,Freelancer
Lobbyist,Professional
Architectural technologist,Freelancer
Insurance broker,Professional
Systems analyst,Manager
Interpreter,Lead
Health physicist,Manager
Leisure centre manager,Lead
Chief of Staff,Professional
"Engineer, energy",Professional
Health and safety adviser,Freelancer
Manufacturing engineer,Professional
Regulatory affairs officer,Lead
Careers adviser,Professional
Holiday representative,Freelancer
Firefighter,Professional
Industrial/product designer,Freelancer
Theme park manager,Professional
Microbiologist,Professional
Dentist,Lead
"Scientist, research (medical)",Lead
Health and safety inspector,Professional
Clinical psychologist,Freelancer
Print production planner,Professional
"Engineer, water",Freelancer
"Accountant, chartered management",Professional
IT trainer,Professional
Print production planner,Professional
Insurance broker,Professional
Trading standards officer,Professional
Commercial art gallery manager,Lead
Public librarian,Professional
Environmental consultant,Professional
Passenger transport manager,Professional
Records manager,Professional
Child psychotherapist,Lead
Nature conservation officer,Freelancer
Musician,Manager
Public relations officer,Manager
Building services engineer,Manager
Publishing copy,Freelancer
Research scientist (physical sciences),Freelancer
Writer,CXO
Brewing technologist,Freelancer
Health physicist,Professional
Aid worker,Manager
"Biochemist, clinical",Professional
Town planner,Freelancer
"Surveyor, building",Lead
IT sales professional,Freelancer
"Conservation officer, nature",Professional
Furniture designer,Professional
Homeopath,Freelancer
Video editor,Professional
Metallurgist,Professional
Arboriculturist,Professional
Mental health nurse,Professional
Social worker,Professional
Health and safety inspector,Manager
Claims inspector/assessor,CXO
Commercial horticulturist,Manager
"Exhibitions officer, museum/gallery",Lead
Chartered certified accountant,Professional
English as a second language teacher,Lead
Geophysicist/field seismologist,Lead
Immunologist,Professional
Academic librarian,Professional
Brewing technologist,Professional
Comptroller,CXO
Publishing copy,Freelancer
Public librarian,Freelancer
"Development worker, community",Lead
Dealer,Freelancer
Electrical engineer,Professional
"Doctor, hospital",Manager
Retail manager,Professional
"Teacher, special educational needs",Professional
Fine artist,Lead
Firefighter,Lead
Air broker,Manager
Maintenance engineer,Professional
Contracting civil engineer,Lead
Adult guidance worker,Freelancer
Insurance claims handler,Lead
Education administrator,Lead
Diplomatic Services operational officer,Manager
"Loss adjuster, chartered",CXO
"Surveyor, mining",Lead
Regulatory affairs officer,Professional
Commissioning editor,Freelancer
"Education officer, community",Professional
"Surveyor, commercial/residential",Freelancer
Firefighter,Professional
Gaffer,Freelancer
Network engineer,Professional
Garment/textile technologist,Freelancer
"Designer, furniture",Professional
Furniture designer,Professional
Sports coach,Professional
Radio broadcast assistant,Professional
Dentist,CXO
"Designer, textile",Manager
Charity officer,Professional
Counsellor,Professional
Advice worker,Lead
Chartered loss adjuster,CXO
Television/film/video producer,Professional
Higher education lecturer,Lead
Immigration officer,Lead
Video editor,Professional
Product manager,Freelancer
Retail banker,Lead
"Editor, commissioning",Lead
Chief Marketing Officer,Freelancer
Firefighter,Professional
Technical brewer,Freelancer
Event organiser,CXO
"Physicist, medical",Professional
Television/film/video producer,Lead
Cabin crew,Freelancer
"Clinical scientist, histocompatibility and immunogenetics",Manager
Chartered legal executive (England and Wales),Lead
Museum/gallery exhibitions officer,Freelancer
Health and safety inspector,Manager
Geophysical data processor,Freelancer
Community pharmacist,Professional
Education administrator,Professional
"Librarian, public",Professional
Dramatherapist,Freelancer
"Journalist, newspaper",CXO
Scientific laboratory technician,Manager
Exercise physiologist,Professional
Systems developer,Freelancer
Set designer,Professional
"Production assistant, television",Professional
Horticultural consultant,Professional
Structural engineer,Freelancer
Trading standards officer,Lead
Product designer,Lead
Graphic designer,CXO
Product designer,Professional
"Engineer, petroleum",Professional
"Scientist, research (life sciences)",Lead
"Accountant, chartered management",Lead
Lawyer,Professional
"Teacher, early years/pre",Lead
Mechanical engineer,Professional
Retail manager,Professional
"Designer, interior/spatial",Manager
"Therapist, sports",Freelancer
Agricultural engineer,Professional
Professor Emeritus,Lead
IT trainer,CXO
Exercise physiologist,CXO
"Designer, furniture",Manager
Theatre stage manager,Professional
Forensic scientist,CXO
Health and safety inspector,Lead
Television production assistant,Professional
Press sub,Freelancer
Analytical chemist,Professional
Equality and diversity officer,Lead
Environmental consultant,Professional
"Editor, magazine features",Manager
Dentist,Freelancer
Osteopath,Manager
"Engineer, communications",Professional
Medical technical officer,Freelancer
Sport and exercise psychologist,Freelancer
Advice worker,Freelancer
Astronomer,Lead
Emergency planning/management officer,CXO
Land/geomatics surveyor,Lead
Colour technologist,Lead
Field trials officer,Manager
Fast food restaurant manager,Professional
Land/geomatics surveyor,Professional
"Education officer, community",Freelancer
Fashion designer,Lead
"Engineer, agricultural",CXO
Music therapist,Freelancer
Call centre manager,Professional
Conference centre manager,Manager
Freight forwarder,Lead
Technical author,CXO
Museum/gallery curator,Professional
Statistician,Professional
"Therapist, nutritional",Professional
Scientific laboratory technician,Professional
Midwife,Professional
Airline pilot,Manager
Newspaper journalist,Professional
Private music teacher,Freelancer
Copy,Manager
Advice worker,Freelancer
"Psychotherapist, dance movement",CXO
Magazine journalist,Lead
Corporate investment banker,Professional
"Teacher, music",Freelancer
Rural practice surveyor,Professional
Mechanical engineer,Freelancer
Dramatherapist,Professional
Economist,Lead
Animal nutritionist,Professional
"Programme researcher, broadcasting/film/video",Professional
Hospital pharmacist,Lead
Environmental consultant,Professional
Surgeon,Lead
Dramatherapist,Manager
"Sound technician, broadcasting/film/video",CXO
Art gallery manager,Professional
Firefighter,Manager
Chiropractor,Professional
Best boy,CXO
Electrical engineer,Manager
Printmaker,Manager
Financial manager,Freelancer
Forest/woodland manager,Freelancer
"Runner, broadcasting/film/video",Manager
Gaffer,Freelancer
Advertising account planner,Manager
Land/geomatics surveyor,Freelancer
Proofreader,Professional
Broadcast engineer,Professional
"Engineer, technical sales",Professional
"Engineer, civil (consulting)",Freelancer
Seismic interpreter,Professional
"Programme researcher, broadcasting/film/video",Professional
Optometrist,Freelancer
Warehouse manager,Professional
Dietitian,Professional
"Development worker, community",Lead
Learning mentor,Lead
Colour technologist,Freelancer
Advertising account planner,Lead
